pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
RB,74.5,59.33333333,87.5,106,120,69,3,24.75,19.75,44.5,5,5,5300,0.9,0.169811321
WR,113.25,140,139.5,126,33,153,141,15.75,26.25,42,-10.5,10.5,3500,0.6,0.171428571
RB,54.75,33.66666667,36.5,50,118,23,28,22.75,28.25,51,-5.5,5.5,5700,1,0.175438596
QB,29.57347973,37.57882883,34.13851351,30,7,56,56,21.75,24.75,46.5,-3,3,5700,1.02,0.178947368
QB,,,,30,7,56,56,21.75,24.75,46.5,-3,3,5700,1.02,0.178947368
WR,54.5,61,3,1,35,5,177,25.25,18.25,43.5,7,7,7000,1.3,0.185714286
QB,49.08792948,55.38125377,55.76853526,42,26,54,47,19.75,20.75,40.5,-1,1,4900,0.92,0.187755102
RB,87.25,88.33333333,123,123,84,123,19,16.75,27.25,44,-10.5,10.5,4000,0.8,0.2
RB,74.5,79,105.5,109,61,102,26,17.75,19.75,37.5,-2,2,3000,0.6,0.2
QB,27.76754127,30.53753931,34.45607311,39,24,46,28,26.5,17,43.5,9.5,9.5,4800,0.96,0.2
WR,53.5,47.33333333,30,34,72,26,82,25.25,19.75,45,5.5,5.5,5300,1.1,0.20754717
WR,86.75,60.33333333,65.5,90,166,41,50,20.75,19.75,40.5,1,1,4800,1,0.208333333
WR,100,75,112,165,175,59,1,30.25,19.25,49.5,11,11,4200,0.9,0.214285714
RB,32.75,41.66666667,25,15,6,35,75,22.75,23.75,46.5,-1,1,3500,0.8,0.228571429
RB,47.5,62,39.5,16,4,63,107,20.75,22.75,43.5,-2,2,3900,0.9,0.230769231
WR,85.5,83,54.5,50,93,59,140,18,23,41,-5,5,6800,1.6,0.235294118
WR,52.5,49,57.5,64,63,51,32,18,25,43,-7,7,5400,1.3,0.240740741
TE,27.5,23.33333333,9,9,40,9,52,27,23.5,50.5,3.5,3.5,6500,1.6,0.246153846
QB,17.42582831,18.7374498,11.24246988,7,12,13,30,15,33.5,48.5,-18.5,18.5,4700,1.16,0.246808511
WR,72,85,105,104,33,106,45,23,30,53,-7,7,3200,0.8,0.25
WR,108.5,144.3333333,137.5,105,1,170,158,17.5,30.5,48,-13,13,3900,1,0.256410256
QB,12.40654206,15.14018692,8.831775701,6,5,15,33,12,34.5,46.5,-22.5,22.5,4500,1.16,0.257777778
WR,58,72.33333333,18.5,5,15,32,180,22.75,24.25,47,-1.5,1.5,6200,1.6,0.258064516
TE,38,49.66666667,43,31,3,55,63,20.25,23.25,43.5,-3,3,3100,0.8,0.258064516
WR,78.75,74.33333333,85,90,92,80,53,20,16,36,4,4,5800,1.5,0.25862069
RB,43.25,56,55,46,5,64,58,19.25,24.25,43.5,-5,5,5400,1.4,0.259259259
RB,68,63.66666667,74.5,78,81,71,42,17,26.5,43.5,-9.5,9.5,5000,1.3,0.26
RB,80.5,97.33333333,106,95,30,117,80,27.5,23.5,51,4,4,4500,1.2,0.266666667
RB,65.5,86,94.5,85,4,104,69,23.75,26.75,50.5,-3,3,4700,1.3,0.276595745
TE,42,42,49,48,42,50,28,22.75,18.25,41,4.5,4.5,3600,1,0.277777778
WR,100.25,89.66666667,71,67,132,75,127,24.25,24.25,48.5,0,0,5700,1.6,0.280701754
WR,116,103.6666667,119.5,124,153,115,72,26,29,55,-3,3,4600,1.3,0.282608696
WR,73.75,78.33333333,34.5,25,60,44,166,23,18,41,5,5,5200,1.5,0.288461538
WR,45.5,30.33333333,12.5,18,91,7,66,29.5,21.5,51,8,8,7600,2.2,0.289473684
WR,65.5,61.33333333,72,75,78,69,40,21.5,19,40.5,2.5,2.5,4100,1.2,0.292682927
WR,31.75,27.66666667,27,35,44,19,29,23.25,24.75,48,-1.5,1.5,5300,1.6,0.301886792
TE,44.75,49,50.5,48,32,53,46,22.75,20.75,43.5,2,2,4300,1.3,0.302325581
RB,84.25,77.66666667,115.5,124,104,107,2,23.5,21.5,45,2,2,3900,1.2,0.307692308
WR,60.5,59,57,61,65,53,63,29.25,19.25,48.5,10,10,5200,1.6,0.307692308
QB,39.57088192,43.08309038,62.75145773,67,31,67,4,18.5,23.5,42,-5,5,4500,1.4,0.311111111
QB,52.40468147,57.05598456,83.10328185,67,31,67,4,18.5,23.5,42,-5,5,4500,1.4,0.311111111
WR,71,74.33333333,101,108,61,94,21,26.25,22.75,49,3.5,3.5,3200,1,0.3125
TE,44.75,46.66666667,46,44,39,48,48,21.5,15.5,37,6,6,3500,1.1,0.314285714
WR,52.5,41.66666667,35.5,38,85,33,54,25,26,51,-1,1,5400,1.7,0.314814815
TE,46.5,50.33333333,69.5,71,35,68,12,21.5,27.5,49,-6,6,2800,0.9,0.321428571
WR,81.5,87,113,111,65,115,35,25.5,21.5,47,4,4,3100,1,0.322580645
