season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2016,8,Sun,2016-10-30,1,SEA,NO,-1,50
2016,8,Sun,2016-10-30,1,NE,BUF,-6.5,48.5
2016,8,Sun,2016-10-30,1,NYJ,CLE,-2.5,45.5
2016,8,Sun,2016-10-30,1,OAK,TB,0,48
2016,8,Sun,2016-10-30,1,KC,IND,-3,50.5
2016,8,Sun,2016-10-30,12,ARI,CAR,-2.5,45.5
2016,8,Sun,2016-10-30,8,PHI,DAL,-5,44
2016,8,Mon,2016-10-31,8,MIN,CHI,,
2016,9,Thu,2016-11-03,8,ATL,TB,-4.5,49.5
2016,9,Sun,2016-11-06,4,NO,SF,-5,53
2016,9,Sun,2016-11-06,1,PIT,BAL,-3,46
2016,9,Sun,2016-11-06,1,NYJ,MIA,-4,45
2016,9,Sun,2016-11-06,1,DAL,CLE,-7.5,49.5
2016,9,Sun,2016-11-06,1,PHI,NYG,-3,43
2016,9,Sun,2016-11-06,1,DET,MIN,-5.5,42.5
2016,9,Sun,2016-11-06,1,JAC,KC,-7,43
2016,9,Sun,2016-11-06,4,TEN,SD,-4,47.5
2016,9,Sun,2016-11-06,4,CAR,LA,-3,44.5
2016,9,Sun,2016-11-06,4,IND,GB,-7.5,52
2016,9,Sun,2016-11-06,8,DEN,OAK,-1,44.5
2016,9,Mon,2016-11-07,8,BUF,SEA,-6,43.5
2016,10,Thu,2016-11-10,8,CLE,BAL,-7.5,44
2016,10,Sun,2016-11-13,4,DAL,PIT,-3,51
2016,10,Sun,2016-11-13,4,SF,ARI,-14,47
2016,10,Sun,2016-11-13,8,SEA,NE,-7.5,49.5
2016,10,Sun,2016-11-13,1,HOU,JAC,-3,42
2016,10,Sun,2016-11-13,1,KC,CAR,-3,44
2016,10,Sun,2016-11-13,1,DEN,NO,-3,50
2016,10,Sun,2016-11-13,1,LA,NYJ,-1,38.5
2016,10,Sun,2016-11-13,1,ATL,PHI,-1.5,49
2016,10,Sun,2016-11-13,1,MIN,WAS,-2.5,41.5
2016,10,Sun,2016-11-13,1,GB,TEN,-3,49
2016,10,Sun,2016-11-13,1,CHI,TB,-2.5,45
2016,10,Sun,2016-11-13,4,MIA,SD,-4.5,49
2016,10,Mon,2016-11-14,8,CIN,NYG,0,49.5
2016,11,Thu,2016-11-17,8,NO,CAR,-3.5,53.5
2016,11,Sun,2016-11-20,1,BUF,CIN,-2.5,48
2016,11,Sun,2016-11-20,1,TEN,IND,-3,54
2016,11,Sun,2016-11-20,1,JAC,DET,-5.5,47
2016,11,Sun,2016-11-20,1,TB,KC,-7,45
2016,11,Sun,2016-11-20,1,CHI,NYG,-7,41.5
2016,11,Sun,2016-11-20,1,ARI,MIN,-2,40
2016,11,Sun,2016-11-20,1,BAL,DAL,-7,44.5
2016,11,Sun,2016-11-20,1,PIT,CLE,-8.5,45.5
2016,11,Sun,2016-11-20,4,MIA,LA,-1,38.5
2016,11,Sun,2016-11-20,4,NE,SF,-11.5,51.5
2016,11,Sun,2016-11-20,4,PHI,SEA,-6.5,43
2016,11,Sun,2016-11-20,8,GB,WAS,-3,48.5
2016,11,Mon,2016-11-21,8,OAK,HOU,-6.5,46
2016,12,Thu,2016-11-24,12,MIN,DET,-1.5,42
2016,12,Thu,2016-11-24,8,PIT,IND,-8.5,49.5
